Delivery,TransPlnngPt,Shipping Type,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Delivery Route,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group
176817767,2513,ZP90,"2,940.00","2,940.00","19,000.00",G,CCM,1510997018,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176855488,2513,ZP90,881,881,"3,000.00",G,CCM,1510997574,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,2,ZP01
176855490,2513,ZP90,"9,907.00","9,907.00","43,000.00",G,CCM,1511001372,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176855492,2513,ZP90,"3,048.00","3,048.00","16,000.00",G,CCM,1510997570,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176855493,2513,ZP90,"1,150,539.00","1,150,539.00","1,934,000.00",G,CCM,1511001070,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,4,ZP01
176855495,2513,ZP90,"1,041.00","1,041.00","13,000.00",G,CCM,1510997575,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,2,ZP01
176868381,2513,ZP90,960,960,"3,000.00",G,CCM,1510997378,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP04
176868382,2513,ZP90,403,403,"3,000.00",G,CCM,1510997016,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176868384,2513,ZP90,"42,295.00","42,295.00","412,000.00",G,CCM,1510997576,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,2,ZP01
176868385,2513,ZP90,129,129,"1,000.00",G,CCM,1510997017,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176871484,2513,ZP90,"53,045.00","53,045.00","541,000.00",G,CCM,1511007136,1/23/2023,2/2/2023,1,70127594,ZPLF,2513,3,ZP01
176871485,2513,ZP90,"4,726.00","4,726.00","49,000.00",G,CCM,1511002801,1/21/2023,2/2/2023,1,70127594,ZPLF,2513,2,ZP01
176880399,2513,ZP90,"8,869.00","8,869.00","33,000.00",G,CCM,1511007132,1/23/2023,2/2/2023,1,70127594,ZPLF,2513,3,ZP01
176880400,2513,ZP90,"97,574.00","97,574.00","643,000.00",G,CCM,1511007134,1/23/2023,2/2/2023,1,70127594,ZPLF,2513,4,ZP01
176880401,2513,ZP90,"21,658.00","21,658.00","68,000.00",G,CCM,1511007131,1/23/2023,2/2/2023,1,70127594,ZPLF,2513,2,ZP01
176880402,2513,ZP90,76,76,"1,000.00",G,CCM,1511002796,1/21/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176880403,2513,ZP90,"8,980.00","8,980.00","48,000.00",G,CCM,1511000322,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176880405,2513,ZP90,500,500,"3,000.00",G,CCM,1511002795,1/21/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176901996,2513,ZP90,"105,170.00","105,170.00","209,000.00",G,CCM,1511000318,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176901998,2513,ZP90,"1,430.00","1,430.00","5,000.00",G,CCM,1511002800,1/21/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176901999,2513,ZP90,"8,000.00","8,000.00","85,000.00",G,CCM,1511000321,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,1,ZP01
176902000,2513,ZP90,"25,317.00","25,317.00","173,000.00",G,CCM,1511007129,1/23/2023,2/2/2023,1,70127594,ZPLF,2513,3,ZP01
176934592,2513,ZP90,393,393,"1,000.00",G,CCM,1511005850,1/23/2023,2/9/2023,1,70127594,ZPLF,2513,1,ZP01
176934593,2513,ZP90,171,171,"1,000.00",G,CCM,1511001646,1/20/2023,2/9/2023,1,70127594,ZPLF,2513,1,ZP01
176934594,2513,ZP90,"4,000.00","4,000.00","42,000.00",G,CCM,1511001693,1/21/2023,2/9/2023,1,70127594,ZPLF,2513,1,ZP01
176934595,2513,ZP90,"12,675.00","12,675.00","67,000.00",G,CCM,1511001674,1/20/2023,2/9/2023,1,70127594,ZPLF,2513,2,ZP01
176579581,2513,ZP90,"5,030.00","5,030.00","11,000.00",G,CCM,1511001873,1/21/2023,1/27/2023,1,70438306,ZPLF,2513,1,ZP01
176602729,2513,ZP90,20,20,0,G,CCM,1510996311,1/19/2023,1/23/2023,1,70012153,ZPLF,2513,1,ZP01
176602730,2513,ZP90,"1,693.00","1,693.00","3,000.00",G,CCM,1510996314,1/19/2023,1/23/2023,1,70012153,ZPLF,2513,2,ZP01
176602776,2513,ZP90,103,103,"1,000.00",G,CCM,1510996310,1/19/2023,1/23/2023,1,70012153,ZPLF,2513,1,ZP01
176602777,2513,ZP90,"3,925.00","3,925.00","12,000.00",G,CCM,1511001312,1/20/2023,1/23/2023,1,70012153,ZPLF,2513,3,ZP01
176635317,2513,ZP90,673,673,"3,000.00",G,CCM,1510996967,1/20/2023,1/23/2023,1,70012153,ZPLF,2513,2,ZP01
176661657,2513,ZP90,46,46,0,G,CCM,1510991512,1/18/2023,1/23/2023,1,70494719,ZPLF,2513,1,ZP01
176661907,2513,ZP90,"2,931.00","2,931.00","9,000.00",G,CCM,1510991862,1/19/2023,1/23/2023,1,70559301,ZPLF,2513,3,ZP01
176662567,2513,ZP90,"5,314.00","5,314.00","23,000.00",G,CCM,1510991908,1/19/2023,1/23/2023,1,70494719,ZPLF,2513,1,ZP01
176662916,2513,ZP90,"22,442.00","22,442.00","66,000.00",G,CCM,1510991823,1/19/2023,1/23/2023,1,70559301,ZPLF,2513,1,ZP01
176664015,2513,ZP90,34,34,0,G,CCM,1510991547,1/19/2023,1/23/2023,1,70559301,ZPLF,2513,1,ZP01
176664259,2513,ZP90,716,716,"1,000.00",G,CCM,1510996306,1/19/2023,1/23/2023,1,70494719,ZPLF,2513,2,ZP01
176664922,2513,ZP90,306,306,"2,000.00",G,CCM,1510991510,1/18/2023,1/23/2023,1,70494719,ZPLF,2513,1,ZP01
176664927,2513,ZP90,90,90,"1,000.00",G,CCM,1510991546,1/19/2023,1/23/2023,1,70559301,ZPLF,2513,1,ZP01
176665569,2513,ZP90,174,174,320,G,CCM,1510991822,1/19/2023,1/23/2023,1,70559301,ZPLF,2513,2,ZP01
176666378,2513,ZP90,54,54,423,G,CCM,1510995772,1/19/2023,1/23/2023,1,70494719,ZPLF,2513,1,ZP04
176667550,2513,ZP90,61,61,438,G,CCM,1510991548,1/19/2023,1/23/2023,1,70494719,ZPLF,2513,1,ZP01
176667557,2513,ZP90,271,271,"1,000.00",G,CCM,1510991827,1/19/2023,1/23/2023,1,70559301,ZPLF,2513,3,ZP01
176731609,2513,ZP90,"22,608.00","22,608.00","56,000.00",G,CCM,1510991266,1/18/2023,1/30/2023,1,70082236,ZPLF,2513,2,ZP01
176774619,2513,ZP90,"16,252.00","16,252.00","39,000.00",G,CCM,1510998836,1/20/2023,1/25/2023,1,70012430,ZPLF,2513,2,ZP01
176805965,2513,ZP90,132,132,0,G,CCM,1510993582,1/19/2023,1/25/2023,1,70135374,ZPLF,2513,1,ZP01
176822579,2513,ZP90,660,660,"5,000.00",G,CCM,1511001691,1/21/2023,1/25/2023,1,70012430,ZPLF,2513,2,ZP01
176822582,2513,ZP90,"3,420.00","3,420.00","13,000.00",G,CCM,1510993565,1/19/2023,1/25/2023,1,70012430,ZPLF,2513,1,ZP01
176822583,2513,ZP90,"5,433.00","5,433.00","40,000.00",G,CCM,1510998838,1/20/2023,1/25/2023,1,70012430,ZPLF,2513,2,ZP01
176822584,2513,ZP90,"67,464.00","67,464.00","169,000.00",G,CCM,1510996996,1/20/2023,1/25/2023,1,70012430,ZPLF,2513,1,ZP01
176822585,2513,ZP90,"313,320.00","313,320.00","819,000.00",G,CCM,1510996997,1/20/2023,1/25/2023,1,70012430,ZPLF,2513,1,ZP01
176824671,2513,ZP90,"6,648.00","6,648.00","16,000.00",G,CCM,1510998837,1/20/2023,1/25/2023,1,70012430,ZPLF,2513,1,ZP01
176824673,2513,ZP90,"2,307.00","2,307.00","28,000.00",G,CCM,1510997559,1/20/2023,1/25/2023,1,70012430,ZPLF,2513,2,ZP01
176850674,2513,ZP90,574,574,"7,000.00",G,CCM,1510993489,1/19/2023,1/25/2023,1,70438306,ZPLF,2513,1,ZP01
176859625,2513,ZP90,"8,592.00","8,592.00","15,000.00",G,CCM,1511001376,1/20/2023,1/30/2023,1,70082236,ZPLF,2513,1,ZP01
176867242,2513,ZP90,860,860,"9,000.00",G,CCM,1510996438,1/19/2023,1/25/2023,1,70012430,ZPLF,2513,1,ZP01
176867244,2513,ZP90,72,72,457,G,CCM,1510996439,1/19/2023,1/25/2023,1,70012430,ZPLF,2513,1,ZP01
176867246,2513,ZP90,"2,264.00","2,264.00","6,000.00",G,CCM,1510996436,1/19/2023,1/25/2023,1,70012430,ZPLF,2513,1,ZP01
176889777,2513,ZP90,190,190,"1,000.00",G,CCM,1511002412,1/21/2023,1/26/2023,1,70438306,ZPLF,2513,1,ZP04
176893413,2513,ZP90,140,140,"1,000.00",G,CCM,1510999111,1/20/2023,1/26/2023,1,70438306,ZPLF,2513,1,ZP01
176909296,2513,ZP90,102,102,0,G,CCM,1511001091,1/20/2023,1/26/2023,1,70012430,ZPLF,2513,1,ZP01
176942387,2513,ZP90,"5,060.00","5,060.00","34,000.00",G,CCM,1511001103,1/20/2023,1/27/2023,1,70012430,ZPLF,2513,1,ZP01
176942388,2513,ZP90,252,252,"2,000.00",G,CCM,1511001697,1/21/2023,1/27/2023,1,70012430,ZPLF,2513,1,ZP01
176942451,2513,ZP90,159,159,"1,000.00",G,CCM,1511001101,1/20/2023,1/27/2023,1,70522201,ZPLF,2513,1,ZP01
176952201,2513,ZP90,220,220,"2,000.00",G,CCM,1511005814,1/23/2023,1/27/2023,1,70438306,ZPLF,2513,1,ZP01
176952202,2513,ZP90,516,516,"2,000.00",G,CCM,1511002416,1/21/2023,1/27/2023,1,70438306,ZPLF,2513,1,ZP04
176955162,2513,ZP90,"1,020.00","1,020.00","2,000.00",G,CCM,1511003031,1/21/2023,1/27/2023,1,70012430,ZPLF,2513,1,ZP01
176955163,2513,ZP90,"5,520.00","5,520.00","13,000.00",G,CCM,1511002519,1/21/2023,1/27/2023,1,70012430,ZPLF,2513,1,ZP04
176964838,2513,ZP90,432,432,"5,000.00",G,CCM,1511001876,1/21/2023,1/27/2023,1,70090248,ZPLF,2513,1,ZP01
176975274,2513,ZP90,"1,600.00","1,600.00","8,000.00",G,CCM,1511005801,1/23/2023,1/27/2023,1,70089614,ZPLF,2513,1,ZP04
176318627,2513,ZP90,"39,878.00","39,878.00","156,000.00",G,CCM,1511001574,1/20/2023,1/23/2023,1,70130947,ZPLF,2513,2,ZP01
176318628,2513,ZP90,"60,440.00","60,440.00","268,000.00",G,CCM,1511001575,1/20/2023,1/23/2023,1,70130947,ZPLF,2513,2,ZP01
176370939,2513,ZP90,636,636,"2,000.00",G,CCM,1510966423,1/11/2023,1/18/2023,1,70089406,ZPLF,2513,1,ZP01
176516036,2513,ZP90,"10,304.00","10,304.00","68,000.00",G,CCM,1510982878,1/17/2023,1/26/2023,1,70012290,ZPLF,2513,3,ZP01
176538327,2513,ZP90,"12,408.00","12,408.00","149,000.00",G,CCM,1510987106,1/17/2023,1/26/2023,1,70012290,ZPLF,2513,2,ZP01
176571612,2513,ZP90,"3,552.00","3,552.00","6,000.00",G,CCM,1510986916,1/17/2023,1/24/2023,1,70012890,ZPLF,2513,1,ZP01
176571613,2513,ZP90,"6,864.00","6,864.00","12,000.00",G,CCM,1510986917,1/17/2023,1/24/2023,1,70012891,ZPLF,2513,1,ZP01
176576524,2513,ZP90,"104,880.00","104,880.00","191,000.00",G,CCM,1511004137,1/21/2023,1/25/2023,1,70082254,ZPLF,2513,2,ZP01
176613750,2513,ZP90,"4,272.00","4,272.00","8,000.00",G,CCM,1510983766,1/17/2023,1/25/2023,1,70086569,ZPLF,2513,1,ZP01
176623307,2513,ZP90,"3,568.00","3,568.00","7,000.00",G,CCM,1510981156,1/16/2023,1/25/2023,1,70012918,ZPLF,2513,1,ZP01
176631802,2513,ZP90,613,613,"5,000.00",G,CCM,1510981326,1/16/2023,1/20/2023,1,70383119,ZPLF,2513,3,ZP01
176640158,2513,ZP90,"7,224.00","7,224.00","14,000.00",G,CCM,1510983765,1/17/2023,1/25/2023,1,70012923,ZPLF,2513,1,ZP01
176642304,2513,ZP90,"32,808.00","32,808.00","58,000.00",G,CCM,1510983767,1/17/2023,1/25/2023,1,70012935,ZPLF,2513,2,ZP01
176657005,2513,ZP90,"11,319.00","11,319.00","46,000.00",G,CCM,1511002809,1/21/2023,2/6/2023,1,70089459,ZPLF,2513,3,ZP01
176670095,2513,ZP90,"19,317.00","19,317.00","78,000.00",G,CCM,1510987118,1/17/2023,1/26/2023,1,70012290,ZPLF,2513,4,ZP01
176673805,2513,ZP90,"28,047.00","28,047.00","45,000.00",G,CCM,1511002772,1/21/2023,1/25/2023,1,70086569,ZPLF,2513,3,ZP01
176673806,2513,ZP90,"89,796.00","89,796.00","361,000.00",G,CCM,1511002770,1/21/2023,1/25/2023,1,70086569,ZPLF,2513,2,ZP01
176673807,2513,ZP90,"19,608.00","19,608.00","32,000.00",G,CCM,1510988526,1/18/2023,1/25/2023,1,70012935,ZPLF,2513,1,ZP01
176673808,2513,ZP90,"92,452.00","92,452.00","336,000.00",G,CCM,1511001604,1/20/2023,1/25/2023,1,70012935,ZPLF,2513,2,ZP01
176677289,2513,ZP90,"31,216.00","31,216.00","101,000.00",G,CCM,1511002791,1/21/2023,1/26/2023,1,70130947,ZPLF,2513,3,ZP01
176681183,2513,ZP90,"1,616.00","1,616.00","4,000.00",G,CCM,1510980727,1/16/2023,1/25/2023,1,70012920,ZPLF,2513,1,ZP01
176682277,2513,ZP90,"14,496.00","14,496.00","50,000.00",G,CCM,1510988903,1/18/2023,1/25/2023,1,70012920,ZPLF,2513,1,ZP01
176682278,2513,ZP90,"30,248.00","30,248.00","90,000.00",G,CCM,1511001584,1/20/2023,1/25/2023,1,70012920,ZPLF,2513,2,ZP01
176689482,2513,ZP90,"752,478.00","752,478.00","1,871,000.00",G,CCM,1510998595,1/20/2023,1/27/2023,1,70436633,ZPLF,2513,4,ZP01
176698735,2513,ZP90,"919,755.00","919,755.00","1,406,000.00",G,CCM,1510995673,1/19/2023,1/27/2023,1,70436633,ZPLF,2513,4,ZP01
176699142,2513,ZP90,"5,058.00","5,058.00","23,000.00",G,CCM,1510998706,1/20/2023,1/30/2023,1,70089459,ZPLF,2513,3,ZP01
176699150,2513,ZP90,"8,880.00","8,880.00","17,000.00",G,CCM,1510996435,1/19/2023,1/25/2023,1,70089406,ZPLF,2513,1,ZP01
176699306,2513,ZP90,"16,728.00","16,728.00","70,000.00",G,CCM,1510989694,1/18/2023,1/25/2023,1,70012924,ZPLF,2513,1,ZP01
176708645,2513,ZP90,"3,584.00","3,584.00","7,000.00",G,CCM,1510989693,1/18/2023,1/25/2023,1,70482687,ZPLF,2513,1,ZP01
